Symbol,전체 기간,Digit Type,Mean,Std
KRW-BTC,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0056510305877456,0.0025532675394965
KRW-BTC,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0037609417928272,0.0009584190246409
KRW-ETH,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.005074992978993,0.0024598012271037
KRW-ETH,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.004001593126565,0.0010627258697983
KRW-XRP,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0070711573392732,0.0029118652129444
KRW-XRP,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0036018015442164,0.0010366881036914
KRW-DOGE,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0058179829938684,0.0026616982248539
KRW-DOGE,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0040640399366946,0.0012347673094493
KRW-SOL,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0048962226124691,0.0018514897428737
KRW-SOL,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0036578219380623,0.000957979774172
KRW-ADA,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.007011213897527,0.0026355037755307
KRW-ADA,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0101435797346414,0.0049184268435379
KRW-TRX,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0054415127831681,0.0015114939272486
KRW-TRX,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0074887077193391,0.0032353021690281
KRW-LINK,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0084145069183756,0.0036250039281503
KRW-LINK,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0137583878959064,0.007449523085192
KRW-SUI,2024-09-17-00:00 ~ 2024-12-29-00:00,First,0.0047347056865024,0.0017841322594724
KRW-SUI,2024-09-17-00:00 ~ 2024-12-29-00:00,Second,0.003799946290652,0.0013566030797246
KRW-XLM,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0096731437643592,0.00511387434534
KRW-XLM,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0149271360779951,0.0082890653283288
KRW-SHIB,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0057517562109406,0.0025426295107809
KRW-SHIB,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.004118451841212,0.0012699517271478
KRW-HBAR,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.010343089810717,0.0044555304973823
KRW-HBAR,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0161415113145833,0.0090066399827982
KRW-DOT,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0114301793784158,0.0059253415932173
KRW-DOT,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0175292461884771,0.009089362733248
KRW-BCH,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0068936187644735,0.0030452879732139
KRW-BCH,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0093298729829938,0.0046438448543451
KRW-NEAR,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0051268545605146,0.0013980759251115
KRW-NEAR,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0058115650609895,0.002587876994653
KRW-APT,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0089183681138259,0.0058645420513521
KRW-APT,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0129885444453804,0.0085077695016273
KRW-AAVE,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0079323912347252,0.0041362989593236
KRW-AAVE,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0128503568632112,0.0072346009910415
KRW-VET,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0102355986136852,0.0043092840066817
KRW-VET,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0178590365997685,0.0084749942995176
KRW-ETC,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0056383185004044,0.0019317617406029
KRW-ETC,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0077594504812342,0.004304114618101
KRW-ALGO,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.011979882586516263,0.004828632583638697
KRW-ALGO,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.02073405185123938,0.01036066480817334
KRW-ARB,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.007420518281346691,0.0025701281574038613
KRW-ARB,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.012780676358909738,0.006673031357353073
