symbol,start_date,end_date,actual_frequencies,digit_type,target,entropy
STORJUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.31337047353760444, 0.18802228412256267, 0.12813370473537605, 0.09261838440111421, 0.07172701949860724, 0.05222841225626741, 0.059192200557103065, 0.04735376044568245, 0.04735376044568245]",first,TA,2.8289306722935574
STORJUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.12256267409470752, 0.11559888579387187, 0.10445682451253482, 0.09610027855153204, 0.10515320334261838, 0.09958217270194986, 0.07938718662952646, 0.08217270194986072, 0.09261838440111421, 0.10236768802228412]",second,TA,3.310206227456059
STORJUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.2857142857142857, 0.16376306620209058, 0.12613240418118468, 0.11986062717770035, 0.08501742160278745, 0.06341463414634146, 0.06062717770034843, 0.05156794425087108, 0.04390243902439024]",first,TA,2.9058444275369464
STORJUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.1254355400696864, 0.1289198606271777, 0.11010452961672473, 0.1156794425087108, 0.09547038327526132, 0.09825783972125436, 0.07386759581881533, 0.07735191637630662, 0.0843205574912892, 0.09059233449477352]",second,TA,3.2975457085618385
STORJUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.3272854152128402, 0.17515701325889743, 0.1151430565247732, 0.09699930216329379, 0.06838799720865317, 0.06629448709002093, 0.056524773203070484, 0.05024424284717376, 0.04396371249127704]",first,TA,2.826631946388308
STORJUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.11933007676203769, 0.11025819958129798, 0.0928122819260293, 0.10118632240055828, 0.09699930216329379, 0.10816468946266573, 0.09909281228192603, 0.08792742498255408, 0.09351011863224006, 0.09071877180739707]",second,TA,3.315676529500762
STORJUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.28551532033426186, 0.16852367688022285, 0.14623955431754876, 0.09610027855153204, 0.08426183844011143, 0.06894150417827298, 0.06337047353760446, 0.04874651810584958, 0.0383008356545961]",first,TA,2.8912924413793535
STORJUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.12047353760445682, 0.10793871866295264, 0.10654596100278552, 0.09749303621169916, 0.0988857938718663, 0.10584958217270195, 0.09401114206128133, 0.08565459610027855, 0.09261838440111421, 0.0905292479108635]",second,TA,3.315152867465135
STORJUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.31754874651810583, 0.16295264623955433, 0.1309192200557103, 0.10515320334261838, 0.07381615598885793, 0.059192200557103065, 0.052924791086350974, 0.04874651810584958, 0.04874651810584958]",first,TA,2.8460399490427357
STORJUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.1392757660167131, 0.10584958217270195, 0.11281337047353761, 0.10863509749303621, 0.0905292479108635, 0.09122562674094707, 0.10584958217270195, 0.08635097493036212, 0.07311977715877438, 0.08635097493036212]",second,TA,3.300066815245329
